"";"FileName";"Group";"Genotype";"AD";"ShortName"
"1";"GSM2440481_APPNL-G-F_1_MoGene-2_0-st_.CEL";"APPNL.KO";"APPNL";"KO";"APPNL.KO"
"2";"GSM2440482_APPNL-G-F_2_MoGene-2_0-st_.CEL";"APPNL.KO";"APPNL";"KO";"APPNL.KO"
"3";"GSM2440483_APPNL-G-F_3_MoGene-2_0-st_.CEL";"APPNL.KO";"APPNL";"KO";"APPNL.KO"
"4";"GSM2440484_APPWT_1_MoGene-2_0-st.CEL";"APPNL.WT";"APPNL";"WT";"APPNL.WT"
"5";"GSM2440485_APPWT_2_MoGene-2_0-st.CEL";"APPNL.WT";"APPNL";"WT";"APPNL.WT"
"6";"GSM2440486_APPWT_3_MoGene-2_0-st.CEL";"APPNL.WT";"APPNL";"WT";"APPNL.WT"
"7";"GSM2440487_3xTg-AD-H_1_MoGene-2_0-st_.CEL";"3xTg.KO";"3xTg";"KO";"3xTg.KO"
"8";"GSM2440488_3xTg-AD-H_2_MoGene-2_0-st_.CEL";"3xTg.KO";"3xTg";"KO";"3xTg.KO"
"9";"GSM2440489_3xTg-AD-H_3_MoGene-2_0-st_.CEL";"3xTg.KO";"3xTg";"KO";"3xTg.KO"
"10";"GSM2440490_non-Tg_1_MoGene-2_0-st_.CEL";"3xTg.WT";"3xTg";"WT";"3xTg.WT"
"11";"GSM2440491_non-Tg_2_MoGene-2_0-st_.CEL";"3xTg.WT";"3xTg";"WT";"3xTg.WT"
"12";"GSM2440492_non-Tg_3_MoGene-2_0-st_.CEL";"3xTg.WT";"3xTg";"WT";"3xTg.WT"
