"","1","2","3","4","5","6","7","8","9","10","11","12"
"Gm3255",8.31314966382933,8.1216016745176,8.14060362581925,8.43022934864227,8.54291781359637,8.52499745697559,8.32700153606866,8.33651623604825,8.13606267845152,9.61868293024102,9.50636732906254,9.71805554089751
"9030025P20Rik",6.001784021598,5.74955379063801,5.6017360854907,5.81141241464556,5.77332822246638,5.52558106998267,6.03620967731425,5.49335745425769,5.94812403859919,7.58347007153729,7.02663207294362,7.52087017978317
"Mir1949",3.90024981654126,3.14944893590122,3.56717456917403,4.23393077766817,4.24388982251373,4.05036438338079,3.32183615190222,2.73992930567649,2.63554395800029,4.47114771198437,3.65027934543456,4.07927976229738
"Gm13601",6.13136683823023,6.49412257009363,6.38869595389017,6.87942362795631,6.5521030556122,6.62504142193123,5.74678759953155,5.27712023748621,5.51566955662922,6.76105072736322,6.31918598157687,6.74308070855222
"Arc",9.30631557756214,9.42302220734091,9.23925595796382,9.55577811609509,9.64132528898233,9.55700035367873,7.55748701153667,7.45277668056301,7.43140938106794,8.68485378297774,8.9137608279558,8.97544163030573
"C3ar1",6.60964106103122,6.73834754055172,6.99224240946672,5.62308894946027,5.69130564952007,5.62165215765965,5.57520791398328,5.88304897305064,5.8528187228081,5.56344728255609,5.69533801265554,5.76275361769042
"C4b",8.49901963295474,8.50826669183396,8.61837860602788,6.52404106448565,6.04537667265976,6.46135991797972,6.64240313920061,6.79639588742194,6.90308728512865,6.33922731804054,6.55119170241545,6.54675584880237
"Cd37",7.65106017545501,7.67726885881812,7.70614652603257,6.65238826401319,6.80269627786715,6.55536174370541,6.57316470190249,6.67238989921574,6.73626803677721,6.52334636914549,6.52232538892535,6.52932630305297
"Cd53",7.80803081611163,7.89500339194931,7.69880661903009,6.80759118463499,6.72438850824109,6.73222570764384,7.00806805631412,6.89239899185316,6.99666424474422,6.85213740691321,6.71226509372732,6.83804306075175
"Cd84",5.84967140733639,6.15393984188736,6.21623855727953,5.0965008381456,5.21017587446468,5.12167341454548,5.39387856651377,5.27813566534853,5.02968764283218,5.339922635691,5.38518148107856,5.27894798200192
"Ch25h",6.97439145759945,6.55472848974975,6.66323010274881,5.32148359283901,5.90969120034486,5.94284786258823,6.15891001098443,6.0350272990516,6.19995671217486,6.5281296527036,5.73520873573329,6.29818755301208
"Ctsh",7.32510788375127,7.43521714048052,7.26821611771588,6.43816719673325,6.51658700415934,6.54882264049112,6.4548935200365,6.39120645405842,6.4702951435131,6.62113220355559,6.62626846846885,6.74766065174368
"Ctss",10.5590021232105,10.5446802039581,10.5653875025006,9.21200780407094,9.19606739073049,9.28045650363257,9.3760171410517,9.55449428842922,9.57057216698971,9.35468027958217,9.0254348214977,9.53284011079934
"Cybb",5.9537992177448,5.95587665120751,5.90807556311808,4.75207057532186,5.20955092404593,4.88894642458969,4.9816647986655,4.85490886607834,4.77654976502511,4.82347594475411,5.03801905086486,5.02649256509323
"Klk1b22",4.12226216673096,4.75199273800348,4.75351000187901,3.94613175533777,4.48258635046444,4.04469928501609,4.12670744513663,6.02037357135696,6.04862407196163,7.30423793562148,7.21764120337042,7.36338182137008
"Fcgr2b",7.71006667705212,7.55921298276403,7.76123107047834,6.67783323900921,6.46844457745027,6.40233189931961,6.57428151798813,6.48468744814111,6.75536014035083,6.63176659262755,6.46753616023939,6.74506484928703
"Fcgr3",7.48955129401146,7.69127455170257,7.60618712436667,6.76926524744985,6.71782308093883,6.42578524013824,6.56295808158876,6.7820401276404,6.49218014212641,6.91048923340219,6.33154263589133,6.83593220087235
"Fos",7.22087248721801,7.38135011723288,7.14276758893997,7.95224932075914,8.16448136732533,7.76654245862451,5.98872663028325,5.89272057385575,5.96981977810856,6.66687776365264,7.1997490493874,7.13440982034045
"Lilrb4a",7.67298582381699,7.36627584979117,7.37705464711818,4.67253751230863,4.2543297563996,4.60105231350801,5.00969687244126,4.43378831393498,4.7268971691298,4.8827723927749,3.99521932733431,4.7901904156434
"Gpr65",5.85055749808177,5.90210937763001,5.84006201416013,4.39877164389232,4.31748766753624,4.7487287995994,4.62940986727494,4.58080635178291,4.59154360379758,4.61374139758514,4.20199936727303,4.38252930476433
"H2-Aa",6.58021389461735,6.64845007515114,6.71476867688709,4.80243277343807,5.16557487380378,4.87442542410146,5.01958602643216,4.83696092907241,5.13726540462771,4.36996143568957,4.7329513308742,4.56981365694718
"H2-Ab1",7.03353746542115,7.65479063406615,7.54069858005022,5.61229792513176,5.58886757644489,5.35630313942305,5.39021352148713,5.69768164434672,5.60074054607148,4.98694785784771,5.68735676123863,5.52531172434365
"Nr4a1",9.68552130403915,9.84891340752202,9.73896355518953,10.3935416329691,10.619082200906,10.4345156197339,8.27279508542897,8.29179551461142,8.32787627925459,9.31313123314583,9.55835206120105,9.66762304686076
