"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17211286","Ly96","17087","lymphocyte antigen 96",-0.000645143061514197,7.10999283117115,-0.0038889066961388,0.996949560935552,0.999726553110305,-6.21968883848436
"2","17211347","Tfap2b","21419","transcription factor AP-2 beta",-0.364354482618966,4.33855432688266,-2.16732874678917,0.0471205064694159,0.514338162868724,-4.14019873137352
"3","17211382","Efhc1","71877","EF-hand domain (C-terminal) containing 1",0.38993826146947,5.22695340487385,2.9769755447504,0.00959860360226096,0.297954581249458,-2.69926962883233
"4","17211416","Khdc1a","368204","KH domain containing 1A",0.0908480045050077,4.03455157941152,0.327163612710436,0.74817127401043,0.949638581058578,-6.16495226542237
"5","17211429","Khdc1b","98582","KH domain containing 1B",-0.42253030130732,3.033343600973,-1.85614944566127,0.0836546594978404,0.596965625186118,-4.63804603082809
"6","17211541","Pih1d3","74708","PIH1 domain containing 3",-0.100996908314978,2.86843016881963,-0.451136670439822,0.658495703361875,0.93387548276694,-6.11595503990618
"7","17211548","Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2",-0.063095512317016,7.4331804710156,-0.484727989468674,0.635035525237009,0.930165091554744,-6.10006261192795
"8","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",0.0244422630236274,5.21883061923243,0.140544679802459,0.890143479289868,0.978176836349589,-6.20956269366599
"9","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.221041295666013,5.43703372281143,1.24895755751832,0.231266115797253,0.750636662287259,-5.46021991669694
"10","17211984","4930556I23Rik","102637491","RIKEN cDNA 4930556I23 gene",-0.134168880379954,5.03641443434621,-0.808729067202854,0.431606885602585,0.842562103056519,-5.8914743397512
"11","17212049","Gm16150","102638318","predicted gene 16150",0.00434024953792278,4.48600165416796,0.0271042225907185,0.978742305816049,0.996268068353622,-6.21931945234765
"12","17212069","Nms","433292","neuromedin S",0.124484702306106,4.65416671540556,0.714712108778411,0.486018724500053,0.863617548063043,-5.96208813075588
"13","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.0651437240281227,4.92754839177152,0.340126731250344,0.738587910641674,0.947461371413691,-6.16054610588327
"14","17212211","Il1rl1","17082","interleukin 1 receptor-like 1",0.100693429739084,4.38624155365222,0.651725995871599,0.524669351290272,0.881145693638223,-6.00485451231483
"15","17212364","Ecrg4","78896","ECRG4 augurin precursor",0.0118098571167939,5.70384596779677,0.0309917050427649,0.975694351696519,0.996268068353622,-6.21920351051901
"16","17212548","Dnah7b","227058","dynein, axonemal, heavy chain 7B",0.230013256391775,4.84079747459632,1.12143084619835,0.280147048780284,0.767666711270941,-5.60127924663564
"17","17212619","Dnah7c","100101919","dynein, axonemal, heavy chain 7C",-0.269412627891104,4.23188110300162,-1.36291145714613,0.193489595095968,0.72795055138325,-5.32398723810427
"18","17212688","C230029F24Rik","442837","RIKEN cDNA C230029F24 gene",-0.0609316173275989,3.94459064186236,-0.379261266148764,0.709933513474354,0.943262742224179,-6.14622431725667
"19","17212778","Nemp2","227094","nuclear envelope integral membrane protein 2",0.0248753018439807,5.97925525509917,0.167750116269821,0.869073193533532,0.975557612651387,-6.20526399207945
"20","17212813","Mstn","17700","myostatin",0.709116664871222,3.71160145863569,3.610576939595,0.00265691474676458,0.175530096494844,-1.50458376863822
"21","17212874","Coq10b","67876","coenzyme Q10B",-0.377071058762054,8.19372077101083,-2.8107202981152,0.0134064212566091,0.333004584319138,-3.00674827743548
"22","17212900","Gm10561","628004","predicted gene 10561",-0.0414520807593437,6.40798471547566,-0.271780196031342,0.789582965819589,0.957484022037426,-6.18187386732623
"23","17212904","Mars2","212679","methionine-tRNA synthetase 2 (mitochondrial)",-0.211272855346406,6.59924190877305,-1.6883544975203,0.112504486894882,0.64280370280083,-4.88733665308628
"24","17213060","Aox4","71872","aldehyde oxidase 4",-0.836165353783501,4.51407640047938,-5.29766865931464,9.67174761307328e-05,0.0275921142618676,1.59334574837001
"25","17213189","Gm20257","100504501","caspase 8 pseudogene",-0.101306437461465,3.93761381908823,-0.433434335565042,0.671012282813566,0.93387548276694,-6.12388422469522
"26","17213213","Casp8","12370","caspase 8",0.188913423650368,6.60589779358687,1.11506176212928,0.282778891613353,0.767666711270941,-5.60799499311705
"27","17213246","Cdk15","271697","cyclin-dependent kinase 15",-0.0837310812075422,5.2591478583619,-0.500458542606762,0.624184986611236,0.92930482258574,-6.09224091922653
"28","17213313","Snord70","100217459","small nucleolar RNA, C/D box 70",0.136364414012405,7.69388090819124,0.730155817403558,0.476807314842692,0.858986852982024,-5.95104148537634
"29","17213462","Cd28","12487","CD28 antigen",-0.23929112182002,4.5679665866046,-1.35721265677925,0.195252527524047,0.72795055138325,-5.33101910330661
"30","17213490","Icos","54167","inducible T cell co-stimulator",0.334203329445764,5.64513230988544,2.19084293261035,0.0450703367960852,0.509464882538389,-4.10095702656713
"31","17213663","Gm13749","433315","predicted gene 13749",0.214740317100558,4.79620626877963,1.31965857592245,0.207197151022831,0.732457133731587,-5.37678903106573
"32","17213765","Crygf","12969","crystallin, gamma F",-0.055801685655136,2.04758211003504,-0.186701833144662,0.854454793752041,0.972646526575808,-6.2018229560431
"33","17213953","Spag16","66722","sperm associated antigen 16",-0.0761684037859798,4.82936557379579,-0.511024855351771,0.616946652306035,0.928093232393321,-6.08685172450275
"34","17213978","Vwc2l","320460","von Willebrand factor C domain-containing protein 2-like",0.0877369265779286,6.91684076825031,0.593962150838854,0.561596051010938,0.899550306784622,-6.04080451294457
"35","17214009","Apol7d","100042814","apolipoprotein L 7d",0.207023080802434,4.12571200499437,1.28362501533758,0.219201994074831,0.743623525765747,-5.41976335946059
"36","17214115","1700027A15Rik","69449","RIKEN cDNA 1700027A15 gene",0.33555819490715,4.68111609777349,2.05776876635905,0.0578613523958133,0.538272301557946,-4.32021812500639
"37","17214120","D530049I02Rik","78718","RIKEN cDNA D530049I02 gene",0.20204914244549,5.27367360808171,1.35117958475934,0.197133020380932,0.72795055138325,-5.3384387949255
"38","17214142","Cxcr2","12765","chemokine (C-X-C motif) receptor 2",-0.265824085348406,4.99390079186265,-2.1186830526013,0.0516392685637627,0.523470148841797,-4.2207154375578
"39","17214197","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",0.0733268967956935,5.89667662291741,0.434585671376634,0.670195094576116,0.93387548276694,-6.1233779107854
"40","17214232","Mir26b","387219","microRNA 26b",-0.250390719795573,3.70084957030598,-1.22505754840529,0.23988249594198,0.753215950308386,-5.48759492817342
"41","17214368","Cyp27a1","104086","cytochrome P450, family 27, subfamily a, polypeptide 1",0.274195518237326,5.44475435912109,1.65913259924471,0.118333860256358,0.652357737621408,-4.92918561862135
"42","17214753","Irs1","16367","insulin receptor substrate 1",0.130499116812004,4.89420057081074,0.616789474820427,0.546838307773579,0.892768269944359,-6.02697494763969
"43","17214910","Gm2427","100039794","predicted gene 2427",-0.213452105926601,4.88862166492137,-0.996491158012798,0.335183961212888,0.794900573235302,-5.72706935064079
"44","17214924","Sp140","434484","Sp140 nuclear body protein",-0.606769504842662,3.70137727811054,-2.98286961892856,0.00948519171155589,0.295967622624642,-2.68829841742258
"45","17215111","Tex44","71863","testis expressed 44",0.525001127812764,4.7776977938392,3.55450888249688,0.00297696008535827,0.185224837802137,-1.61091304647812
"46","17215550","Gm19589","100503197","predicted gene, 19589",-0.050165027290781,5.33288499741376,-0.279359503872448,0.78387350937864,0.956701665192539,-6.17974077019516
"47","17215561","1700067G17Rik","73475","RIKEN cDNA 1700067G17 gene",0.106419851007942,4.50157633005648,0.676267780675853,0.509405193000445,0.875076362070847,-5.98863012771029
"48","17215605","Ackr3","12778","atypical chemokine receptor 3",-0.0709141234365651,6.19009176942838,-0.41787631340616,0.682096784264398,0.937042383519378,-6.13059769761714
"49","17215623","Gm9991","433332","predicted gene 9991",0.322447865022484,4.86134157563582,1.5459134210541,0.14344679929974,0.682597120416793,-5.08660562646493
"50","17215629","Mlph","171531","melanophilin",0.253941994612165,5.71769346814833,1.90468488419318,0.076641384580306,0.585661396709966,-4.56325436978765
"51","17215799","Twist2","13345","twist basic helix-loop-helix transcription factor 2",-0.410425451530849,4.13388129922449,-1.71609905913242,0.107202781677719,0.641133158451478,-4.84715874427633
"52","17215807","Olfr1413","259039","olfactory receptor 1413",-0.196899889935404,2.98508546135282,-1.10745670750724,0.285945660884032,0.769241335588791,-5.61597201756134
"53","17215811","Olfr1412","258274","olfactory receptor 1412",0.260611270514974,5.17348104435116,1.34287823427724,0.199744437148307,0.729936182773606,-5.34860651800634
"54","17215879","Aqp12","208760","aquaporin 12",0.152825892449511,5.55386628966765,0.992856886046297,0.336893453449412,0.795243766593944,-5.73053725451062
"55","17215984","Ano7","404545","anoctamin 7",0.284404991585856,5.07226880556671,1.45793791546053,0.165956860833631,0.700521202866529,-5.20346834861638
