"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17211286","Ly96","17087","lymphocyte antigen 96",-0.102369088487566,7.10999283117115,-0.436340305300269,0.668950530474153,0.92700402874396,-6.21253466469306
"2","17211347","Tfap2b","21419","transcription factor AP-2 beta",-0.239796781192107,4.33855432688266,-1.00862336809598,0.329521953617809,0.813251711535996,-5.80251195958595
"3","17211382","Efhc1","71877","EF-hand domain (C-terminal) containing 1",0.303209502255051,5.22695340487385,1.63684375433709,0.122954381310109,0.641654789572179,-5.0422181245275
"4","17211416","Khdc1a","368204","KH domain containing 1A",0.0410639493797591,4.03455157941152,0.104567161927029,0.918137179560596,0.985233717131924,-6.30463213727833
"5","17211429","Khdc1b","98582","KH domain containing 1B",-0.289092386929592,3.033343600973,-0.898000829304538,0.383703739207512,0.837092405981839,-5.90492851819147
"6","17211541","Pih1d3","74708","PIH1 domain containing 3",-0.41377052732321,2.86843016881963,-1.30690676332748,0.211383945442442,0.744941892438631,-5.47684586550821
"7","17211548","Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2",0.154833207908771,7.4331804710156,0.841102145295014,0.413806829503271,0.842180289025738,-5.95347712634201
"8","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",0.262478213716183,5.21883061923243,1.06721337916448,0.30314407717455,0.8050589917446,-5.74410028912974
"9","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.507870444069118,5.43703372281143,2.02914089801358,0.0610171062746894,0.541560716580244,-4.44303448048119
"10","17211984","4930556I23Rik","102637491","RIKEN cDNA 4930556I23 gene",-0.396953394815125,5.03641443434621,-1.69190424352018,0.111813660669632,0.622458165485163,-4.9630405485895
"11","17212049","Gm16150","102638318","predicted gene 16150",-0.0197823108003181,4.48600165416796,-0.0873542981476167,0.931572501726918,0.987519880871229,-6.30633837942131
"12","17212069","Nms","433292","neuromedin S",-0.00498310233292631,4.65416671540556,-0.0202301900672344,0.984132653008554,0.995263120218475,-6.31006961906182
"13","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.131068224666992,4.92754839177152,0.483894407043519,0.635612963978706,0.913398241112121,-6.19025109590187
"14","17212211","Il1rl1","17082","interleukin 1 receptor-like 1",0.0560726956301014,4.38624155365222,0.256625818551654,0.801035892123462,0.956548939547869,-6.27632307090731
"15","17212364","Ecrg4","78896","ECRG4 augurin precursor",-0.152436970934443,5.70384596779677,-0.282862997529703,0.781238661553937,0.953687164605534,-6.26904491705577
"16","17212548","Dnah7b","227058","dynein, axonemal, heavy chain 7B",0.600664731480572,4.84079747459632,2.07079337114118,0.0564757397070644,0.528665869664098,-4.37507748281744
"17","17212619","Dnah7c","100101919","dynein, axonemal, heavy chain 7C",-0.813364194640501,4.23188110300162,-2.90950928012104,0.0109954889434457,0.325679615936753,-2.88662302063044
"18","17212688","C230029F24Rik","442837","RIKEN cDNA C230029F24 gene",-0.0435289852167164,3.94459064186236,-0.19158404104464,0.850697602356817,0.965810604534544,-6.29133565407777
"19","17212778","Nemp2","227094","nuclear envelope integral membrane protein 2",-0.177910919940719,5.97925525509917,-0.848363701003822,0.409880883773036,0.841356744138009,-5.94744053740121
"20","17212813","Mstn","17700","myostatin",0.676041848436082,3.71160145863569,2.43398274401338,0.028240980412045,0.43945899648977,-3.75464316862337
"21","17212874","Coq10b","67876","coenzyme Q10B",-0.205141557993377,8.19372077101083,-1.08126733037833,0.297053395771987,0.802727511984653,-5.72967091995634
"22","17212900","Gm10561","628004","predicted gene 10561",-0.0574204705545149,6.40798471547566,-0.266209298681202,0.793787493572652,0.954660468146923,-6.27374586651735
"23","17212904","Mars2","212679","methionine-tRNA synthetase 2 (mitochondrial)",-0.0993680906168635,6.59924190877305,-0.561502745644696,0.58294165581762,0.896646003492929,-6.14911641428673
"24","17213060","Aox4","71872","aldehyde oxidase 4",-0.831805363309524,4.51407640047938,-3.72648469363287,0.00210082616757268,0.165605915393789,-1.32929172115776
"25","17213189","Gm20257","100504501","caspase 8 pseudogene",-0.396904556326694,3.93761381908823,-1.20076316108307,0.248895189237996,0.77469559758158,-5.60063328970521
"26","17213213","Casp8","12370","caspase 8",-0.154259232795741,6.60589779358687,-0.643831577952264,0.52963397019581,0.88085136481016,-6.09911571012215
"27","17213246","Cdk15","271697","cyclin-dependent kinase 15",-0.0521456458246226,5.2591478583619,-0.220386232332732,0.828611541952417,0.961211516985227,-6.2852214974029
"28","17213313","Snord70","100217459","small nucleolar RNA, C/D box 70",-0.0774825480804644,7.69388090819124,-0.293361687919033,0.773359712573719,0.953394485789463,-6.26593648712653
"29","17213462","Cd28","12487","CD28 antigen",-0.23672057586719,4.5679665866046,-0.949384913496599,0.357821906964375,0.827628485298086,-5.85865644457903
"30","17213490","Icos","54167","inducible T cell co-stimulator",0.0297045803651512,5.64513230988544,0.137692059055665,0.892358069511538,0.974490231164038,-6.30048903475611
"31","17213663","Gm13749","433315","predicted gene 13749",0.339851880407759,4.79620626877963,1.47680336658101,0.160896256392758,0.69043248996781,-5.26195953712562
"32","17213765","Crygf","12969","crystallin, gamma F",0.152544283608282,2.04758211003504,0.360896112276781,0.723327287256653,0.943858683616119,-6.24327310048175
"33","17213953","Spag16","66722","sperm associated antigen 16",-0.186882272584428,4.82936557379579,-0.886584794092139,0.389622152773841,0.839543440026238,-5.91489764058917
